cust_code,total_visit,total_spend,cust_week,recency,weekly_frequency,weekly_monetory,avg_bastket_size,basket_sen_la,basket_sen_mm,basket_sen_um,basket_sen_xx,customer_sen_la,customer_sen_mm,customer_sen_up,customer_sen_xx,basket_type_ss,basket_type_tu,basket_type_fs,basket_type_xx,basket_dominant_fr,basket_dominant_gr,basket_dominant_mi,basket_dominant_nf,basket_dominant_xx
CUST0000813480,1,11.649999999999999,64,442,0.015625,0.18203124999999998,11.649999999999999,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CUST0000917849,1,6.02,64,436,0.015625,0.0940625,6.02,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000923078,1,1.95,64,437,0.015625,0.03046875,1.95,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CUST0000733637,1,0.83,64,441,0.015625,0.01296875,0.83,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000292759,1,0.35,64,438,0.015625,0.00546875,0.35,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000371746,1,2.5500000000000003,32,213,0.03125,0.079687500000000008,2.5500000000000003,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000074663,1,0.98,32,215,0.03125,0.030625,0.98,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000046443,1,11.73,32,218,0.03125,0.3665625,11.73,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000983382,1,19.230000000000004,32,215,0.03125,0.60093750000000012,19.230000000000004,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
CUST0000180213,1,2.06,32,214,0.03125,0.064375,2.06,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000552995,1,0.98,32,212,0.03125,0.030625,0.98,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000250316,1,0.86,32,218,0.03125,0.026875,0.86,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000433708,1,2.01,32,215,0.03125,0.0628125,2.01,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000468727,1,1.91,32,212,0.03125,0.0596875,1.91,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CUST0000433828,1,3.12,32,215,0.03125,0.0975,3.12,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000991675,1,3.5900000000000003,32,216,0.03125,0.11218750000000001,3.5900000000000003,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000826614,1,2.16,32,214,0.03125,0.0675,2.16,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000352630,1,15.180000000000001,32,218,0.03125,0.47437500000000005,15.180000000000001,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
CUST0000847166,1,9.48,32,215,0.03125,0.29625,9.48,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
CUST0000646254,1,104.29000000000002,32,216,0.03125,3.2590625000000006,104.29000000000002,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
CUST0000798613,1,4.55,32,216,0.03125,0.1421875,4.55,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000349242,1,4.5500000000000007,32,212,0.03125,0.14218750000000002,4.5500000000000007,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000818265,1,0.91,32,216,0.03125,0.0284375,0.91,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000925620,1,3.51,32,217,0.03125,0.1096875,3.51,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
CUST0000305829,1,0.34,32,213,0.03125,0.010625,0.34,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000782658,1,1.29,32,214,0.03125,0.0403125,1.29,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000582702,1,0.72,32,212,0.03125,0.0225,0.72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CUST0000942094,1,9.71,16,103,0.0625,0.606875,9.71,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
CUST0000104264,1,0.88,16,104,0.0625,0.055,0.88,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000793220,1,1.3599999999999999,16,105,0.0625,0.084999999999999992,1.3599999999999999,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CUST0000399145,1,1.87,16,102,0.0625,0.116875,1.87,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000832201,1,0.26,16,101,0.0625,0.01625,0.26,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000827753,1,11.04,16,101,0.0625,0.69,11.04,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
CUST0000264096,1,24.92,16,104,0.0625,1.5575,24.92,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000498211,1,15.46,16,104,0.0625,0.96625,15.46,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
CUST0000314808,1,0.79,16,103,0.0625,0.049375,0.79,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000803569,1,0.31,16,105,0.0625,0.019375,0.31,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000726145,1,1,16,100,0.0625,0.0625,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000297129,1,3.44,16,101,0.0625,0.215,3.44,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000329562,1,3,16,103,0.0625,0.1875,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000934969,1,19.16,16,103,0.0625,1.1975,19.16,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
CUST0000994536,1,45.12,16,103,0.0625,2.82,45.12,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
CUST0000581910,1,2.28,16,104,0.0625,0.1425,2.28,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CUST0000946600,1,8.6100000000000012,16,102,0.0625,0.53812500000000008,8.6100000000000012,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000825600,1,3.87,16,105,0.0625,0.241875,3.87,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000262951,1,0.74,16,104,0.0625,0.04625,0.74,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000026017,1,2.0300000000000002,16,102,0.0625,0.12687500000000002,2.0300000000000002,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
CUST0000921732,1,1.96,16,102,0.0625,0.1225,1.96,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000034400,1,24.469999999999995,16,100,0.0625,1.5293749999999997,24.469999999999995,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
CUST0000222292,1,10.81,16,101,0.0625,0.675625,10.81,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
CUST0000264154,1,3.21,16,106,0.0625,0.200625,3.21,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000134056,1,3.01,16,103,0.0625,0.188125,3.01,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000128958,1,1.2,16,100,0.0625,0.075,1.2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000549560,1,28.59,16,102,0.0625,1.786875,28.59,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
CUST0000642315,1,0.72,16,105,0.0625,0.045,0.72,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000540193,1,10.8,16,106,0.0625,0.675,10.8,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000640774,1,71.519999999999982,16,101,0.0625,4.4699999999999989,71.519999999999982,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
CUST0000321827,1,1.87,103,715,0.0097087378640776691,0.018155339805825243,1.87,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000570027,1,8.29,103,714,0.0097087378640776691,0.080485436893203879,8.29,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000812339,1,8.71,103,712,0.0097087378640776691,0.084563106796116519,8.71,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000038615,1,1.81,103,712,0.0097087378640776691,0.017572815533980584,1.81,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
CUST0000671191,1,2.22,103,712,0.0097087378640776691,0.021553398058252429,2.22,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CUST0000165619,1,8.07,103,709,0.0097087378640776691,0.078349514563106792,8.07,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000777447,1,5.7999999999999989,103,709,0.0097087378640776691,0.056310679611650476,5.7999999999999989,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000780955,1,3.7,103,713,0.0097087378640776691,0.035922330097087382,3.7,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000671242,1,1.39,103,713,0.0097087378640776691,0.01349514563106796,1.39,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CUST0000317421,1,3.3899999999999997,103,711,0.0097087378640776691,0.0329126213592233,3.3899999999999997,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
CUST0000010500,1,2.27,103,712,0.0097087378640776691,0.02203883495145631,2.27,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000601327,1,2.2,103,710,0.0097087378640776691,0.021359223300970877,2.2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000954496,1,15.459999999999999,103,713,0.0097087378640776691,0.15009708737864078,15.459999999999999,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
CUST0000327899,1,7.84,103,709,0.0097087378640776691,0.076116504854368924,7.84,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000326727,1,0.99,103,714,0.0097087378640776691,0.0096116504854368932,0.99,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000005626,1,0.7,103,714,0.0097087378640776691,0.0067961165048543689,0.7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000935961,1,2.9299999999999997,103,709,0.0097087378640776691,0.028446601941747571,2.9299999999999997,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000015258,1,0.68,103,713,0.0097087378640776691,0.0066019417475728162,0.68,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000506599,1,34.32,103,715,0.0097087378640776691,0.33320388349514563,34.32,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
CUST0000271582,1,50.97,103,710,0.0097087378640776691,0.49485436893203882,50.97,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
CUST0000196712,1,0.81,103,715,0.0097087378640776691,0.0078640776699029132,0.81,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000852877,1,3.49,103,710,0.0097087378640776691,0.033883495145631069,3.49,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000861556,1,0.45,103,713,0.0097087378640776691,0.0043689320388349516,0.45,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000327988,1,0.81,103,709,0.0097087378640776691,0.0078640776699029132,0.81,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000944448,1,5.92,103,711,0.0097087378640776691,0.057475728155339807,5.92,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000890485,1,2.66,103,713,0.0097087378640776691,0.025825242718446603,2.66,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CUST0000451858,1,4.18,103,712,0.0097087378640776691,0.04058252427184466,4.18,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000501067,1,1.54,103,711,0.0097087378640776691,0.014951456310679612,1.54,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000484300,1,4.75,103,715,0.0097087378640776691,0.046116504854368932,4.75,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000625031,1,3.83,103,713,0.0097087378640776691,0.037184466019417474,3.83,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000085441,1,0.25,103,710,0.0097087378640776691,0.0024271844660194173,0.25,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000699727,1,5.3800000000000008,103,709,0.0097087378640776691,0.052233009708737871,5.3800000000000008,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000479179,1,10.08,93,643,0.010752688172043012,0.10838709677419354,10.08,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
CUST0000592286,1,1.11,93,644,0.010752688172043012,0.011935483870967743,1.11,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000429412,1,1.24,93,645,0.010752688172043012,0.013333333333333332,1.24,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000584533,1,2.88,93,643,0.010752688172043012,0.030967741935483871,2.88,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
CUST0000486149,1,11.8,93,640,0.010752688172043012,0.12688172043010754,11.8,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000253214,1,0.42,93,639,0.010752688172043012,0.0045161290322580641,0.42,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000998221,1,13.41,93,644,0.010752688172043012,0.14419354838709678,13.41,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000990480,1,5.5299999999999994,93,644,0.010752688172043012,0.059462365591397844,5.5299999999999994,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000276040,1,0.89,93,641,0.010752688172043012,0.0095698924731182789,0.89,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000727185,1,3.42,93,641,0.010752688172043012,0.036774193548387096,3.42,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
CUST0000807387,1,2.3,93,642,0.010752688172043012,0.024731182795698924,2.3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000469754,1,3.64,93,642,0.010752688172043012,0.039139784946236558,3.64,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000724267,1,3.3,93,642,0.010752688172043012,0.035483870967741936,3.3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000450603,1,1.37,93,641,0.010752688172043012,0.014731182795698926,1.37,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000094715,1,3.0300000000000002,93,639,0.010752688172043012,0.032580645161290327,3.0300000000000002,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000122352,1,0.33,93,644,0.010752688172043012,0.0035483870967741938,0.33,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CUST0000152577,1,3.3599999999999994,93,643,0.010752688172043012,0.036129032258064513,3.3599999999999994,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000594876,1,2.65,93,642,0.010752688172043012,0.028494623655913976,2.65,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000702591,1,0.81,93,642,0.010752688172043012,0.00870967741935484,0.81,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000779987,1,1.99,66,451,0.015151515151515152,0.030151515151515151,1.99,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000650147,1,6.9,66,454,0.015151515151515152,0.10454545454545455,6.9,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
CUST0000926650,1,0.79,66,453,0.015151515151515152,0.01196969696969697,0.79,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000141964,1,0.67,66,453,0.015151515151515152,0.010151515151515153,0.67,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CUST0000173234,1,22.49,66,451,0.015151515151515152,0.34075757575757576,22.49,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
CUST0000440900,1,4.32,66,455,0.015151515151515152,0.06545454545454546,4.32,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000126543,1,11.87,66,456,0.015151515151515152,0.17984848484848484,11.87,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
CUST0000657372,1,7.99,66,453,0.015151515151515152,0.12106060606060606,7.99,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000920927,1,2.16,66,450,0.015151515151515152,0.03272727272727273,2.16,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000225844,1,1.3599999999999999,66,451,0.015151515151515152,0.020606060606060603,1.3599999999999999,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000830304,1,0.60000000000000009,66,456,0.015151515151515152,0.0090909090909090922,0.60000000000000009,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000440705,1,31.74,66,450,0.015151515151515152,0.4809090909090909,31.74,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
CUST0000118887,1,2.04,66,450,0.015151515151515152,0.03090909090909091,2.04,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000782031,1,12.37,66,454,0.015151515151515152,0.18742424242424241,12.37,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000413042,1,1.92,66,456,0.015151515151515152,0.029090909090909091,1.92,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUST0000002638,1,15.59,66,450,0.015151515151515152,0.23621212121212121,15.59,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000094368,1,44.3,33,220,0.030303030303030304,1.3424242424242423,44.3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
CUST0000208132,1,5.17,33,223,0.030303030303030304,0.15666666666666668,5.17,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000352552,1,0.63,33,224,0.030303030303030304,0.019090909090909092,0.63,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000950598,1,4.67,33,222,0.030303030303030304,0.14151515151515151,4.67,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000474892,1,14.39,33,220,0.030303030303030304,0.43606060606060609,14.39,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
CUST0000610009,1,0.57,33,224,0.030303030303030304,0.017272727272727273,0.57,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CUST0000659991,1,1.57,33,224,0.030303030303030304,0.047575757575757577,1.57,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
CUST0000242972,1,9.16,33,223,0.030303030303030304,0.27757575757575759,9.16,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000293873,1,62.82,33,219,0.030303030303030304,1.9036363636363636,62.82,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000256585,1,2.43,33,219,0.030303030303030304,0.073636363636363639,2.43,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CUST0000823740,1,1.56,33,223,0.030303030303030304,0.047272727272727272,1.56,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000204614,1,0.53,33,222,0.030303030303030304,0.01606060606060606,0.53,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000831418,1,0.68,33,221,0.030303030303030304,0.020606060606060607,0.68,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000761850,1,0.01,33,220,0.030303030303030304,0.00030303030303030303,0.01,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
CUST0000439220,1,0.75,33,222,0.030303030303030304,0.022727272727272728,0.75,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000950871,1,10.99,33,219,0.030303030303030304,0.333030303030303,10.99,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
CUST0000175503,1,0.28,33,225,0.030303030303030304,0.0084848484848484857,0.28,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
CUST0000141213,1,11.07,33,219,0.030303030303030304,0.33545454545454545,11.07,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000422846,1,1.54,33,222,0.030303030303030304,0.046666666666666669,1.54,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000279199,1,6.9700000000000006,33,225,0.030303030303030304,0.21121212121212124,6.9700000000000006,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
CUST0000362684,1,0.88,33,222,0.030303030303030304,0.026666666666666668,0.88,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000294362,1,1.04,33,225,0.030303030303030304,0.031515151515151517,1.04,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000691819,1,4.75,33,220,0.030303030303030304,0.14393939393939395,4.75,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000072557,1,3.21,71,491,0.014084507042253521,0.0452112676056338,3.21,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000591170,1,3.29,71,490,0.014084507042253521,0.046338028169014084,3.29,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000295679,1,6.44,71,487,0.014084507042253521,0.090704225352112686,6.44,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
CUST0000562526,1,6.19,71,486,0.014084507042253521,0.0871830985915493,6.19,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000658914,1,4.91,71,491,0.014084507042253521,0.069154929577464788,4.91,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000915352,1,4.11,71,487,0.014084507042253521,0.057887323943661979,4.11,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
CUST0000283361,1,2.41,71,487,0.014084507042253521,0.033943661971830991,2.41,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000487922,1,12.7,71,490,0.014084507042253521,0.1788732394366197,12.7,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000110282,1,7.33,71,485,0.014084507042253521,0.10323943661971831,7.33,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000779201,1,2.0100000000000002,71,489,0.014084507042253521,0.028309859154929579,2.0100000000000002,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000382725,1,0.39,71,491,0.014084507042253521,0.0054929577464788732,0.39,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000327543,1,1.49,71,490,0.014084507042253521,0.020985915492957745,1.49,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CUST0000170620,1,3.94,71,491,0.014084507042253521,0.055492957746478874,3.94,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
CUST0000863110,1,0.25,71,489,0.014084507042253521,0.0035211267605633804,0.25,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000579239,1,0.47,71,488,0.014084507042253521,0.006619718309859155,0.47,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CUST0000695932,1,2.26,71,485,0.014084507042253521,0.031830985915492951,2.26,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000981904,1,2.16,118,816,0.00847457627118644,0.018305084745762715,2.16,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000773182,1,0.93,118,819,0.00847457627118644,0.00788135593220339,0.93,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000830992,1,42.940000000000005,118,818,0.00847457627118644,0.3638983050847458,42.940000000000005,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000498936,1,20.259999999999998,118,817,0.00847457627118644,0.17169491525423727,20.259999999999998,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
CUST0000717322,1,1.9899999999999998,118,814,0.00847457627118644,0.016864406779661015,1.9899999999999998,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
CUST0000167145,1,14.130000000000003,118,819,0.00847457627118644,0.11974576271186443,14.130000000000003,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
CUST0000204046,1,5.85,118,815,0.00847457627118644,0.049576271186440674,5.85,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
CUST0000442859,1,1.7,118,816,0.00847457627118644,0.014406779661016949,1.7,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
CUST0000924588,1,25.790000000000003,118,814,0.00847457627118644,0.21855932203389833,25.790000000000003,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
